Condition,Ingredients_to_Avoid,Ingredients_to_Use
Eczema,"Fragrance, essential oils, lanolin, urea (in high concentrations), formaldehyde releasers, dyes, chemical UV filters","Petrolatum, mineral oil, colloidal oatmeal, glycerin, shea butter, aloe, niacinamide, sunflower oil, fragrance-free and dye-free formulations"
Allergic Contact Dermatitis,"Fragrance, preservatives (formaldehyde, methylisothiazolinone, parabens), dyes, metals (nickel, cobalt), rubber/latex, neomycin","Gentle fragrance-free hypoallergenic moisturizers, barrier-repair creams with ceramides or petrolatum, glycerin, minimal-ingredient cleansers"
Insect Bite,"Fragrance, alcohol, menthol, peppermint, harsh acids or exfoliants","Calamine, aloe vera, pramoxine, colloidal oatmeal, fragrance-free soothing emollients"
Urticaria,"Fragrance, dyes, alcohol, strong surfactants (SLS), essential oils, harsh exfoliants","Ceramides, glycerin, hyaluronic acid, aloe vera, calamine, fragrance-free gentle cleansers and moisturizers"
Psoriasis,"Fragrance, alcohol, sulfates (SLS/SLES), dyes, physical exfoliants, harsh acids","Petrolatum, shea butter, glycerin, urea (low concentration), ceramides, coal tar, salicylic acid (in treatment creams), fragrance-free emollients"
Folliculitis,"Heavy comedogenic oils, fragrance, alcohol-based shaving products, harsh exfoliants","Non-comedogenic moisturizers, niacinamide, aloe vera, gentle cleansers, light emollients"
Irritant Contact Dermatitis,"Harsh surfactants, alcohols, acids, solvents, fragrance, dyes","Petrolatum, mineral oil, glycerin, ceramides, barrier creams, fragrance-free and dye-free products"
Tinea,"Heavy occlusive creams with fragrance or dyes, greasy ointments that trap moisture","Antifungal ingredients (clotrimazole, terbinafine), mild fragrance-free moisturizers, soothing creams after treatment"
Herpes Zoster,"Fragrance, dyes, harsh exfoliants, alcohol, retinoids","Ceramides, glycerin, aloe vera, petrolatum, gentle moisturizers, barrier-repair creams"
Drug Rash,"Fragrance, dyes, retinoids, acids, exfoliants, multiple-active products","Simple fragrance-free moisturizers, ceramides, glycerin, mineral oil, petrolatum, barrier-supporting creams"
